StudyArea,Location,Species,Detections,TrapNights
M,Camera 5,Red fox,5,34.806
M,Camera 6,Red fox,2,54
M,Center,Red fox,5,25.901
N,Camera 2,Red fox,1,25.794
N,Camera 3,Red fox,3,53.111
N,Camera 4,Red fox,3,34.969
N,Camera 5,Red fox,12,34.806
O,Camera 2,Red fox,24,44.73
O,Camera 3,Red fox,5,37.257
O,Camera 4,Red fox,8,40.849
O,Camera 5,Red fox,16,46
O,Center,Red fox,1,12.031
P,Camera 2,Red fox,10,40.899
P,Camera 3,Red fox,4,34.101
P,Camera 4,Red fox,12,21.191
P,Camera 5,Red fox,21,40.703
P,Camera 6,Red fox,3,46
L,Camera 2,Skunk,1,41.849
N,Camera 3,Skunk,2,53.111
E,Camera 6,Southern Flying squirrel,12,54
N,Camera 5,Southern Flying squirrel,11,34.806
D,Camera 2,White-tailed deer,8,32.79
D,Camera 3,White-tailed deer,19,46.219
D,Camera 4,White-tailed deer,34,40.845
D,Camera 5,White-tailed deer,50,46.154
D,Center,White-tailed deer,4,16.783
E,Camera 2,White-tailed deer,13,41.872
E,Camera 3,White-tailed deer,11,38.859
E,Camera 4,White-tailed deer,31,34.965
E,Camera 6,White-tailed deer,64,54
E,Center,White-tailed deer,8,17.143
F,Camera 2,White-tailed deer,13,19.071
F,Camera 3,White-tailed deer,10,21.901
F,Camera 4,White-tailed deer,3,34.974
F,Camera 5,White-tailed deer,78,54
F,Center,White-tailed deer,36,43.713
G,Camera 2,White-tailed deer,22,47.615
G,Camera 3,White-tailed deer,18,17.143
G,Camera 4,White-tailed deer,7,26.216
G,Camera 5,White-tailed deer,53,34.984
G,Camera 6,White-tailed deer,20,54
G,Center,White-tailed deer,14,17.938
I,Camera 2,White-tailed deer,8,28.21
I,Camera 3,White-tailed deer,7,57.322
I,Camera 4,White-tailed deer,6,40.777
I,Camera 5,White-tailed deer,4,46
I,Center,White-tailed deer,11,14.775
L,Camera 2,White-tailed deer,19,41.849
L,Camera 4,White-tailed deer,36,32.983
L,Camera 5,White-tailed deer,137,54
L,Center,White-tailed deer,6,21.478
M,Camera 2,White-tailed deer,9,25.943
M,Camera 3,White-tailed deer,1,35.07
M,Camera 4,White-tailed deer,11,17.919
M,Camera 5,White-tailed deer,17,34.806
M,Camera 6,White-tailed deer,70,54
M,Center,White-tailed deer,26,25.901
N,Camera 2,White-tailed deer,12,25.794
N,Camera 3,White-tailed deer,18,53.111
N,Camera 4,White-tailed deer,26,34.969
N,Camera 5,White-tailed deer,16,34.806
N,Center,White-tailed deer,3,1.754
O,Camera 2,White-tailed deer,5,44.73
O,Camera 3,White-tailed deer,11,37.257
O,Camera 4,White-tailed deer,2,40.849
O,Camera 5,White-tailed deer,12,46
O,Center,White-tailed deer,1,12.031
P,Camera 2,White-tailed deer,7,40.899
P,Camera 3,White-tailed deer,11,34.101
P,Camera 4,White-tailed deer,5,21.191
P,Camera 5,White-tailed deer,42,40.703
P,Camera 6,White-tailed deer,20,46
P,Center,White-tailed deer,1,11.554
